"id","date_part","cash_flow"
866,"2008","-65260"
866,"2009","-135633"
866,"2010","-290861"
866,"2011","-186133"
866,"2012","72391"
866,"2013","-417232"
866,"2014","-256090"
881,"2007","-19997"
881,"2008","1103272"
881,"2009","-74440"
881,"2010","315245"
881,"2011","-542450"
881,"2012","-1186804"
881,"2013","-131453"
881,"2014","1246003"
888,"2007","-44486474"
888,"2008","10502672"
888,"2009","-1840608"
888,"2010","-621324"
901,"2007","-305908"
901,"2008","-163715"
919,"2007","1961695"
919,"2008","-173582"
919,"2009","2090614"
919,"2010","2189942"
919,"2011","757425"
919,"2012","1901878"
919,"2013","5523607"
919,"2014","3492294"
932,"2007","206412"
932,"2008","-32053"
932,"2012","-72762"
932,"2013","-57216"
932,"2014","28206"
976,"2007","-62"
976,"2013","211790"
976,"2014","-72221"
981,"2007","-47836"
981,"2008","-268101"
981,"2009","-7878"
981,"2010","1837"
981,"2011","110990"
981,"2012","78616"
981,"2013","1257"
981,"2014","-71016"
986,"2007","-2499708"
986,"2008","1230537"
986,"2009","-3685760"
986,"2010","337033"
986,"2011","507185"
986,"2012","-1273679"
986,"2013","1355363"
986,"2014","-25368"
987,"2007","1223060"
987,"2008","39727"
987,"2009","-40202"
987,"2010","918830"
987,"2011","128228"
987,"2012","544341"
987,"2013","-398677"
987,"2014","-796145"
1056,"2008","578327"
1056,"2009","143652"
1056,"2010","608509"
1056,"2011","131732"
1056,"2012","186908"
1056,"2013","122137"
1056,"2014","164857"
1071,"2008","-2748926"
1071,"2009","5988481"
1071,"2010","-1189533"
1071,"2011","-4180752"
1071,"2012","4882610"
1071,"2014","-641726"
1090,"2007","-408683"
1090,"2008","-309548"
1090,"2009","-1898387"
1090,"2010","-537332"
1090,"2011","-2122486"
1090,"2012","79780"
1090,"2013","-1487133"
1090,"2014","2205666"
1091,"2007","373541"
1091,"2008","48176"
1091,"2009","1230672"
1091,"2010","168341"
1091,"2011","21825"
1091,"2012","-848981"
1091,"2013","37784"
1091,"2014","2043576"
1116,"2007","64774"
1116,"2008","6418"
1116,"2009","4114"
1116,"2010","26500"
1116,"2011","113748"
1116,"2012","-34287"
1116,"2013","766483"
1116,"2014","-336883"
1162,"2007","-8139"
1162,"2008","-166478"
1162,"2009","-18809"
1162,"2010","-85255"
1162,"2011","-43190"
1162,"2012","-708"
1162,"2013","76691"
1162,"2014","38475"
1165,"2007","202648"
1165,"2008","81575"
1165,"2009","3490"
1165,"2011","-244432"
1165,"2012","-1210450"
1165,"2013","-332781"
1165,"2014","-514648"
1186,"2007","-607046"
1186,"2008","1185603"
1186,"2009","-635712"
1186,"2009","-448720"
1186,"2010","-690539"
1186,"2011","892917"
1186,"2012","41138"
1186,"2013","-42958"
1186,"2014","-2439"
1236,"2012","198393"
1236,"2013","468008"
1236,"2014","-298009"
1252,"2007","2269082"
1252,"2008","-4586805"
1252,"2009","1282577"
1252,"2010","581441"
1252,"2011","-7999162"
1252,"2012","-6212455"
1252,"2013","-4233885"
1252,"2014","-8897174"
1269,"2009","-240859"
1269,"2010","-564981"
1269,"2011","-1984512"
1284,"2011","769746"
1284,"2012","891701"
1284,"2013","98316"
1284,"2014","5936"
1293,"2007","-1352"
1293,"2008","44408"
1295,"2007","-845621"
1295,"2008","-2665726"
1295,"2009","-104006"
1295,"2011","-483116"
1295,"2013","173864"
1295,"2014","-219327"
1307,"2007","1395"
1307,"2008","227719"
1307,"2009","-80870"
1307,"2010","36901"
1307,"2011","9746"
1307,"2012","-272898"
1307,"2013","28901"
1307,"2014","16417"
1315,"2007","-1765979"
1315,"2008","-125492"
1315,"2009","-1519722"
1315,"2010","-1070345"
1315,"2011","238705"
1315,"2012","-556586"
1315,"2013","205051"
1315,"2014","140914"
1375,"2007","-331053"
1375,"2008","7225244"
1375,"2009","-1200287"
1375,"2010","284281"
1375,"2011","38114575"
1375,"2012","1310487"
1375,"2013","2081195"
1375,"2014","-605343"
1385,"2007","55218"
1385,"2008","109984"
1385,"2009","-353379"
1385,"2010","-131467"
1385,"2011","-308743"
1385,"2012","-12029"
1385,"2013","-509487"
1385,"2014","91625"
1476,"2007","761756"
1476,"2008","2712828"
1476,"2009","249886"
1476,"2010","707299"
1476,"2011","-140597"
1476,"2012","-347833"
1476,"2013","1706513"
1476,"2014","-1243849"
1482,"2007","-372751"
1482,"2008","-142321"
1482,"2009","-356074"
1482,"2009","-154207"
1482,"2010","4183424"
1482,"2011","505033"
1482,"2012","-125016"
1482,"2013","-1314368"
1482,"2014","972319"
1489,"2013","-1231294"
1501,"2007","97101"
1501,"2008","-531286"
1501,"2009","1369685"
